n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
72;175.0;3.0;3.0;330000.0;Santiago de Surco;13;0.332876177949294;0;0.7390263085875542;1;0.6048498616343817;15;0.2764460049649524;1;0.5711976630890724;0;0.7454147157865123
73;209.0;4.0;3.5;559000.0;San Isidro;60;0.016124520560703043;19;0.13168794244566373;26;0.1923331777465925;60;0.09688867908869296;3;0.2600851391396721;32;0.3049245442421223
74;138.0;3.0;2.0;215000.0;Pueblo Libre;52;0.0573346565679469;8;0.33631320868407866;22;0.06996196008950628;60;0.2364554057195624;4;0.5409120486627811;14;0.4840560312970537
75;85.0;3.0;2.0;173920.0;Barranco;50;0.12215062310888553;2;0.2863892327784271;3;0.42723810597254375;60;0.044789910540651054;8;0.12594493926105976;7;0.12655644359775822
76;91.0;3.0;3.0;142000.0;Surquillo;55;0.012538851245745093;7;0.2259048824140269;23;0.10951199206510816;60;0.00574943148855264;5;0.21970674337845744;12;0.053190850639410835
77;164.0;3.0;4.0;321000.0;San Borja;22;0.032081389418656264;0;0.8765903475518494;1;0.578792190432485;2;0.3858293966706684;0;0.9912405588912528;7;0.5043557002510745
78;110.0;3.0;4.0;245000.0;Santiago de Surco;18;0.11646431008907965;11;0.2565470620782916;14;0.1010130384208682;50;0.07782815486452434;2;0.1338550684038622;15;0.34521186336202186
79;280.0;3.0;2.5;290000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
80;80.0;3.0;2.0;131000.0;San Miguel;40;0.0034525636821083148;3;0.1988554621464566;3;0.1173507027615888;58;0.11419473670445447;6;0.2844650832434327;1;0.0456462497768219
81;280.0;4.0;2.0;350000.0;San Borja;37;0.07404300182908181;15;0.2905624318255815;3;0.537311917475448;49;0.14058320286430356;4;0.4503558809481045;2;0.6476365688467788
82;236.0;3.0;3.0;625000.0;Santiago de Surco;35;0.1904427038875817;4;0.10741503062584074;4;0.3785132130048718;22;0.33327458678932936;0;0.730884973074532;9;0.4288738020758329
83;85.0;3.0;2.0;120000.0;San Miguel;56;0.11402882741807065;14;0.13699255801591434;15;0.13773628594987128;60;0.05090779419489547;10;0.20374019451126288;26;0.18247854576668604
84;142.0;3.0;3.0;280000.0;San Borja;19;0.1885789117347985;0;0.8736937775023274;1;0.6352936554587694;4;0.17969422118190345;0;0.8951624570631581;0;0.8212201480463253
