n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
78;Departamento en Venta Manuel Olguin 745, Santiago De Surco, Lima;Santiago de Surco;110.0;3.0;4.0;-12.0969584;-76.97280790000002;245000.0;
79;Duplex en Venta Av. Primavera N°19xx, Dpto. 19x, Santiago De Surco, Lima;Santiago de Surco;280.0;3.0;2.5;-12.1416088;-76.99181550000003;290000.0;
80;Departamento en Venta Av. La Paz 1010, San Miguel, Lima;San Miguel;80.0;3.0;2.0;-12.085791699999998;-77.0922329;131000.0;
81;Departamento en Venta Amadeo Avogadro, San Borja, Lima;San Borja;280.0;4.0;2.0;-12.10459;-77.00740229999997;350000.0;
82;Departamento en Venta Av Del Sur 310, Santiago De Surco, Lima;Santiago de Surco;236.0;3.0;3.0;-12.1143799;-76.98315009999997;625000.0;
83;Departamento en Venta Escardo, San Miguel, Lima;San Miguel;85.0;3.0;2.0;-12.076444175940967;-77.09199586931152;120000.0;
84;Departamento en Venta Calle 2, San Borja, San Borja, Lima;San Borja;142.0;3.0;3.0;-12.09368687155784;-76.98234110577391;280000.0;
85;Departamento en Venta Jiron 24, San Borja, Lima;San Borja;132.0;2.0;2.0;-12.093354575588204;-76.98401644921263;270000.0;
86;Penthouse en Venta Av Cerros De Camacho 435, Santiago De Surco, Lima;Santiago de Surco;320.0;3.0;4.0;-12.086917;-76.96359380000001;850000.0;
87;Duplex en Venta Av. La Floresta 180, San Borja, Lima;San Borja;325.0;4.0;5.0;-12.110036099999999;-76.98836299999998;695000.0;
88;Departamento en Venta Malecón Armendariz, Armendáriz, Miraflores;Miraflores;105.0;1.0;2.0;-12.1362192;-77.0265781;360000.0;
89;Duplex en Venta Golf Los Incas 641, Santiago De Surco, Lima;Santiago de Surco;704.0;3.0;5.0;-12.080066048302925;-76.9606106269531;1500000.0;
90;Penthouse en Venta Av. Circunvalacion Golf Los Incas N°5xx, Dpto. 403c, Santiago De Surco, Lima;Santiago de Surco;359.0;4.0;3.5;-12.076916280949558;-76.95812427256395;495000.0;
91;Departamento en Venta Calle Vanderghen, Miraflores, Lima;Miraflores;278.0;3.0;3.0;-12.10920836812718;-77.0413881333435;788090.0;
92;Departamento en Venta Jr. Zorritos, Bre�a, Lima;Bre�a;100.0;3.0;2.0;-12.0584783;-77.05066169999998;95438.0;
